
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
3.17	0.0	-194.4962736002156	-338.4759262608898	-776.709533980593	-1190.5934141063458	-1568.409792707843	-1926.7153831842927	-2308.679498270591	-2703.308645452029	-3062.8604717979933	-3483.717128703718	-3897.1234557744333	-4319.5735357402655	-4764.0063931811455	-5152.698835940226	-5590.1114877032915	-5962.731756520676	-6390.75909244005	-6788.077524278732	-7224.9826094699765	-7567.886641668124	-7992.445250642317	-8353.24589395583	-8719.628175051954	-9154.850097671731	-9591.68182128645	-9972.793383809154	-10341.724835344501	-10792.78181332707	-11220.969515348863	-11641.543193694662	-12039.424666465788	-12376.90517247655	-12857.171090062384	-13216.288490878847	-13603.614089132983	-14167.218608073794	-14779.636310463871	-15197.976600375858	-15600.0
3.16	0.0	-176.5211481770547	-364.60943654152544	-770.1242438761444	-1187.889953895999	-1531.0533415150285	-1910.1973762374823	-2351.346682815259	-2720.0650147699253	-3041.5460317748657	-3426.147920392089	-3946.3520455582993	-4319.3563104899795	-4726.073304617358	-5153.680337298599	-5553.4760648019	-5946.737075891086	-6340.2440204280465	-6776.992937399018	-7192.751591489536	-7604.09191550802	-8043.990186510129	-8379.70481442956	-8719.515369751973	-9181.531603435915	-9586.318140113877	-9959.424911898066	-10366.632151083437	-10774.531125416945	-11234.452944851284	-11676.40746508676	-12063.475241361417	-12428.632543506103	-12825.578043082996	-13225.353147266062	-13615.574641049807	-14188.124943116172	-14786.42876490424	-15198.172460516196	-15600.0
3.15	0.0	-203.04206825733658	-349.1193986553762	-753.7703561394922	-1193.8510014780618	-1561.6571213535635	-1940.9412732827752	-2299.860225722428	-2685.577415686478	-3008.071582146969	-3454.3792847160653	-3906.2975531852126	-4332.751620068316	-4761.842478785936	-5185.076353399947	-5589.45808644827	-5956.746257418991	-6367.222329861449	-6790.2388865632975	-7163.480924442425	-7610.654475633161	-8001.432781609087	-8379.68788011981	-8752.815125015088	-9136.518983335109	-9574.505881931726	-9915.015925907155	-10373.800935729292	-10820.222196961602	-11212.394226998085	-11635.114614924962	-12062.957183932624	-12408.324016649656	-12793.881932856635	-13219.836699415897	-13617.377591012106	-14178.584548858973	-14780.439769922066	-15198.404986517156	-15600.0
3.14	0.0	-193.17294915116605	-332.6901221999479	-741.9596918624436	-1171.030924961608	-1540.9663757776054	-1946.4790361185296	-2309.7618896249646	-2719.2042549093912	-3007.071729662352	-3437.5354377133435	-3865.8548257276175	-4355.107457678412	-4760.803689146521	-5167.540298718823	-5571.240666401302	-5943.793931058041	-6356.7420310040025	-6804.188802008388	-7170.2855480904245	-7584.034933613738	-8001.183902651675	-8354.310769214553	-8708.522513625396	-9154.424977863433	-9553.516020594483	-9962.929677513803	-10396.882163684024	-10821.676272218598	-11189.44422111818	-11642.470327965622	-12011.662114424973	-12401.3843754544	-12796.749501250379	-13221.39775612557	-13600.505027796908	-14145.755525609502	-14787.06976064222	-15199.53057823289	-15600.0
3.13	0.0	-210.4856794307577	-340.15513339984665	-717.4168990434675	-1163.3125276786727	-1585.0302454757286	-1951.8524178830755	-2364.600809446106	-2717.074417285712	-3033.8099079087065	-3419.359130886984	-3868.903645418777	-4310.454996719952	-4715.424659171636	-5174.586899069827	-5602.8330506749235	-5977.007887307553	-6313.468278169145	-6786.078554868451	-7192.374525852349	-7589.398156922071	-7947.616757820557	-8372.029211163093	-8775.991039677236	-9181.723478494647	-9567.016299873538	-9997.179562591948	-10386.76670451615	-10802.16066251495	-11215.926529939094	-11595.32505188393	-12030.95894905577	-12401.428860814265	-12826.83134752272	-13208.562035460987	-13600.569754872497	-14133.42246021754	-14776.207923947737	-15199.990705994558	-15600.0
3.12	0.0	-207.86077216105662	-340.98838170670746	-731.769907924883	-1112.1672243195246	-1582.7825226118441	-1931.948589810435	-2343.2067871200215	-2697.3193952600454	-3000.7380942405316	-3406.5601395904214	-3863.809348481446	-4329.550015155452	-4764.996525810001	-5156.900724389074	-5537.491008252037	-5988.630502591558	-6368.7167884021765	-6782.690228675913	-7179.3493618446755	-7586.160785375225	-7993.212242786398	-8358.948968667242	-8760.79356052279	-9161.302091447718	-9569.33309319043	-9985.046689535875	-10364.8257409157	-10806.258592702825	-11188.759352661184	-11605.595549766598	-11991.260254542563	-12395.578505642818	-12824.730316228268	-13208.674457052264	-13604.742748051842	-14161.996755113274	-14783.22970219721	-15199.978531254217	-15600.0
3.11	0.0	-193.1777566224726	-331.3290074483856	-707.7792766165325	-1116.4631289007557	-1508.6238359539389	-1912.8570994315382	-2352.78125701279	-2701.6927625018775	-3006.2132017097038	-3428.4393063433454	-3930.611464857489	-4323.207863218985	-4743.703388189351	-5123.6111153686	-5543.858705088739	-5991.0030190971165	-6358.928053421686	-6778.058087537922	-7215.085268412391	-7585.851777043203	-7993.120629864427	-8390.26107274904	-8729.226327002792	-9117.590755089363	-9591.920818153118	-9998.454870960748	-10348.688142692352	-10753.160523608623	-11198.955989398484	-11579.359689031107	-12008.496127728951	-12460.185972793695	-12855.630381631123	-13197.767675446346	-13633.27126412151	-14183.007067049874	-14770.95147873152	-15198.61191481587	-15600.0
3.1	0.0	-144.13484430135554	-301.3569040009882	-749.4030301350783	-1139.6762619054286	-1543.2878508095728	-1897.7598616061646	-2314.00938788965	-2731.0805368633296	-3055.695826944527	-3420.173663687815	-3863.4738042815325	-4325.705017418071	-4760.094313939697	-5132.502606763918	-5563.865961691867	-5944.100258073988	-6382.118001356124	-6742.5198122875245	-7199.238189551758	-7595.660308501388	-7981.273018488157	-8354.124800090392	-8762.190966417893	-9144.990170152156	-9538.873922944547	-10017.761264524454	-10370.386430649995	-10798.900751347364	-11241.598443728155	-11652.223262718664	-12026.750385971009	-12385.123948721885	-12838.64312478544	-13213.88225992295	-13584.14760397633	-14139.878928300528	-14777.216967351644	-15196.893539952434	-15600.0
3.09	0.0	-190.86483865444612	-345.74291712369023	-735.5567891897291	-1116.2446100879015	-1525.8332938137792	-1967.4254349017767	-2332.756525820422	-2734.70280745172	-3043.965617701065	-3430.016787114789	-3926.1978368435757	-4320.360516882189	-4736.221599813712	-5181.470295059575	-5580.830984576121	-5944.073572610643	-6342.134482004038	-6803.438967683767	-7199.065729623411	-7602.491891439529	-8008.741233462332	-8369.267758072003	-8742.350708884924	-9167.403955996131	-9575.01932725841	-9978.556709135333	-10387.187576146203	-10811.941678510102	-11229.818028117517	-11616.921566157525	-12008.81877563634	-12421.256645022457	-12839.435392176963	-13217.810448898534	-13617.603886138284	-14129.915601810171	-14769.567422275028	-15196.823847162574	-15600.0
3.08	0.0	-192.84846052832083	-355.5185501701803	-669.2889033805743	-1114.5251244092417	-1539.4949028556052	-2001.7660230198358	-2318.6501042712466	-2725.891044813253	-3051.7642050498816	-3414.0901987106954	-3870.8962499444697	-4320.364284821496	-4702.62703302829	-5151.723536003325	-5586.512835340611	-5926.166707036177	-6347.690983620541	-6804.575356054123	-7207.603249573597	-7566.278377827591	-7999.8835083629265	-8394.791435767984	-8753.697506184986	-9161.510297097087	-9542.737877920878	-9965.68467136722	-10414.814904749313	-10756.671179566136	-11176.382765609336	-11566.44318115048	-11971.35769078758	-12417.561085738424	-12824.99378742875	-13226.683851923823	-13607.439096290944	-14154.132979117	-14783.479724280754	-15198.502584519838	-15600.0
3.07	0.0	-188.79921289790852	-299.26549707476147	-664.5044706589213	-1148.288717564589	-1543.9285950674323	-1971.8421625712988	-2339.8508346773383	-2716.956847117018	-3033.2632218553267	-3406.702270576249	-3906.104698435972	-4265.353503880653	-4725.83214460742	-5128.380181162461	-5564.998029836111	-5953.71798175195	-6385.4752738085135	-6778.444537242589	-7178.895868030073	-7615.8723631175135	-7993.241048159594	-8388.345078293674	-8771.502544471523	-9169.866550162767	-9596.300506787626	-9978.204554352822	-10411.57073904375	-10823.20798385488	-11232.733477453277	-11611.361247771289	-12020.29386310177	-12407.081864492526	-12861.25609916518	-13192.764535699913	-13618.78292230166	-14129.217215931743	-14774.279992798074	-15197.16044373775	-15600.0
3.06	0.0	-179.72625349394428	-285.85192070463995	-652.8474963725241	-1130.6747674891408	-1552.2074881130561	-1969.8430302662493	-2358.008482591371	-2703.682452721934	-3052.1366090813153	-3420.9197039154296	-3862.8376419398865	-4316.145590782707	-4692.847936126025	-5168.305744922263	-5587.859491379445	-5965.429321110035	-6354.582890734537	-6785.932082979767	-7186.02249473362	-7603.92288320582	-7971.717792176805	-8383.461915059457	-8766.01470367532	-9166.863089261627	-9598.903773388318	-9955.835112071229	-10373.131444273005	-10728.482672963895	-11210.889223131317	-11585.057914928337	-11985.403379277353	-12404.317518272901	-12878.075945145172	-13198.922190151208	-13607.036698178383	-14122.39019376271	-14774.983175137118	-15197.625581579465	-15600.0
3.05	0.0	-173.49755211338763	-310.86048917834944	-612.6471201697558	-1052.8460803256914	-1538.377257871015	-1933.217802703989	-2374.4011389539264	-2726.752018985681	-3077.2593513062084	-3413.7508082054565	-3889.658008380162	-4342.403313351847	-4755.785120469333	-5160.5307522275325	-5554.171698756638	-5983.857263853769	-6385.913466797797	-6776.043411515919	-7209.659348694742	-7582.252941127774	-7997.300259011041	-8370.560938266106	-8738.854671033238	-9176.26150735921	-9566.239876408734	-9972.840714296552	-10388.186182074722	-10782.383709216012	-11185.911742863063	-11637.086396714898	-11987.052454664681	-12408.760889016223	-12837.607896517135	-13208.645002622929	-13596.761684562698	-14144.550948323626	-14774.028923651003	-15198.923230733384	-15600.0
3.04	0.0	-154.1257493227266	-328.2119853172437	-721.3089582517373	-1104.5989424146278	-1494.263443799819	-1934.8652272167665	-2357.840616273279	-2697.7454738147526	-3062.9058777318755	-3445.593961839093	-3857.2337371530316	-4319.3265166314	-4743.701879629741	-5142.516868389611	-5561.8355809655495	-5960.622918039567	-6388.224525880963	-6793.468169104609	-7207.544669781139	-7573.048288044397	-8001.8950090585995	-8349.783686602646	-8730.185260679136	-9133.199403035376	-9577.82196261833	-9969.15263549216	-10392.46415847808	-10807.78841095654	-11210.287344009288	-11612.17306745434	-12007.575179235519	-12373.52310121615	-12827.707281669935	-13205.783051435008	-13623.434890205745	-14165.727966201543	-14782.67991054084	-15198.087966146504	-15600.0
3.03	0.0	-187.7070872178772	-272.8662611664606	-707.5873746582492	-1162.3943038107645	-1498.2813424186375	-1938.694733967238	-2316.8687189904567	-2692.644833549205	-3052.933538041521	-3440.563143723427	-3885.0136864541164	-4336.8481448417515	-4701.667167215331	-5160.37990951112	-5538.596499246401	-5997.947622293167	-6386.505962357163	-6833.399159679644	-7212.571229274199	-7582.359030352288	-7985.095083495541	-8362.828047826863	-8746.65953744373	-9136.149761198785	-9589.033053002078	-9996.81527202941	-10343.753070234401	-10807.662213103567	-11204.925508469865	-11641.585043121731	-11998.262621895521	-12411.455034553395	-12846.620672643488	-13223.184655205532	-13636.49072388346	-14140.496330837943	-14768.606217709299	-15196.90394112451	-15600.0
3.02	0.0	-169.15472422692596	-331.6970360283316	-714.6377411609717	-1097.8928373196752	-1484.727694403801	-1962.6775037778789	-2327.3181776048878	-2697.0661549623433	-3037.022339494501	-3418.757683095855	-3865.427540212595	-4324.416235337992	-4713.55707025558	-5172.257588931432	-5561.491889618176	-5962.082241181436	-6373.795023326003	-6805.27514093992	-7167.128071619985	-7572.701523815414	-8002.983866074818	-8375.815684035197	-8726.264151986945	-9213.001877421908	-9573.748863854076	-9975.945862883878	-10424.711798266924	-10796.85468769238	-11195.352869561004	-11577.889497728564	-11989.251262701893	-12357.64449145225	-12821.149072573724	-13233.72832688081	-13603.649774151467	-14125.159553462894	-14768.402150789942	-15198.30740229275	-15600.0
3.01	0.0	-204.74276372551154	-339.7730396659478	-701.3934073005007	-1103.2628269061465	-1526.1047382833185	-1916.6398137733102	-2327.405364338082	-2677.5429966089287	-3071.0566485795543	-3414.7615028175383	-3889.7923590080977	-4370.548354696141	-4769.987611015795	-5154.271453911952	-5536.907923456313	-5944.866994183713	-6393.263460905958	-6740.844307324171	-7174.286217145155	-7625.796586987572	-8009.497190826031	-8368.315961504031	-8748.077258274378	-9240.579984553087	-9582.47963047348	-9987.831390364041	-10407.04274720127	-10720.232531018608	-11205.26376973085	-11523.891678482325	-12007.944136202406	-12406.009521063777	-12812.195331925031	-13247.685526063737	-13624.957785631868	-14120.198027113292	-14768.361843412724	-15197.214286107413	-15600.0
3.0	0.0	-219.91690298280074	-357.9838582439356	-695.5500694909063	-1081.5241754890249	-1492.7631296252148	-1928.9608335509051	-2348.0243600665053	-2705.1412908369703	-3106.2795662728213	-3458.005757070274	-3872.650477117959	-4304.294259098252	-4780.589089785303	-5150.736288549112	-5529.313031014562	-5992.678648056947	-6353.154502972029	-6781.595557311759	-7171.419971894691	-7602.911047679006	-8028.068443315936	-8318.903060976852	-8733.34888317006	-9218.245920116826	-9585.421033379569	-9989.46349518921	-10423.43963136491	-10775.319278085159	-11211.225885734513	-11606.509023946814	-12014.162410019675	-12420.124552356954	-12789.007708222794	-13232.74073848741	-13601.606892711357	-14116.759981492187	-14773.622437126889	-15197.596527778973	-15600.0
2.99	0.0	-202.36280354967664	-395.81251866884537	-701.329730683286	-1131.1177055892904	-1523.5090537776878	-1957.5429024615576	-2337.2243995702165	-2678.2855081740763	-3094.0215857594244	-3432.663004869987	-3868.916481939186	-4331.045729847085	-4780.40775240764	-5196.911563612097	-5552.7310616976465	-6003.045044357743	-6354.521127715705	-6764.081123084198	-7158.435370334632	-7606.962163527896	-7990.2433197822775	-8332.076958972217	-8776.62629312714	-9173.535720099979	-9571.23069449854	-10000.006686260907	-10388.217714477962	-10787.077169944832	-11177.340668346682	-11592.503604078418	-11986.287945219876	-12404.725218126263	-12846.970161491918	-13237.49265990588	-13624.882785532687	-14132.54603553331	-14778.419337460406	-15199.623204472246	-15600.0
2.98	0.0	-158.32978825047164	-331.2374222605658	-669.1745364616988	-1100.703667226916	-1531.4115717947166	-1936.9501450738735	-2344.80399738794	-2706.720244577747	-3082.184970095011	-3436.514855594238	-3863.6623874658717	-4289.742009117902	-4752.052770882654	-5168.063561492801	-5568.065025250522	-5976.739761825522	-6378.512662038571	-6826.302022305863	-7207.517578006636	-7614.851136480054	-7985.870343410953	-8403.928536387391	-8771.648703143794	-9189.784875379093	-9605.764771266564	-10013.673379853248	-10389.856409438646	-10769.482079687112	-11209.11088317028	-11589.789490377303	-11982.652460232894	-12401.783119192936	-12823.324864184779	-13234.64208949773	-13616.23635242196	-14121.440681389999	-14767.197429494096	-15198.608452373277	-15600.0
2.97	0.0	-156.06954824667932	-353.6508498875724	-719.3688479098194	-1062.0726344362029	-1548.63227337452	-1950.763000239585	-2365.9075749886674	-2699.3229120292617	-3096.388541241002	-3429.123333327237	-3863.04019747053	-4329.557479671951	-4743.2007718088325	-5148.267598975941	-5591.234453934605	-6017.840910900621	-6348.576135788581	-6771.86134898432	-7221.766972333156	-7603.2767119205	-7981.152237558986	-8349.867610743979	-8768.38921992395	-9163.469760706465	-9642.624779816206	-10015.250143160994	-10382.70841186548	-10768.19012509943	-11159.220088752112	-11600.733203019076	-11980.76087692202	-12437.00375822253	-12818.675028764406	-13255.602341840875	-13588.721005042726	-14118.414558476778	-14775.382161589965	-15196.062810536332	-15600.0
2.96	0.0	-196.50144064963828	-341.9797680329521	-666.6900166713872	-1021.3455254787029	-1462.1411420011116	-1902.0099100142077	-2346.5565530442964	-2742.3758276040535	-3054.418202454874	-3492.513983830946	-3902.1303301728467	-4306.362696259617	-4678.199006048763	-5189.0272446523595	-5534.156934128743	-5980.004500840895	-6422.89534310731	-6801.326528829619	-7195.920911303449	-7604.317743402312	-8019.887450532401	-8376.54538600753	-8771.984387860259	-9188.20420688321	-9590.830879925028	-9941.900850064136	-10393.498455321953	-10778.863851043023	-11185.422757267708	-11576.298617847906	-11966.798281204588	-12422.519656628168	-12814.45292912555	-13178.9014066843	-13613.311812436797	-14112.906705684774	-14769.00928034311	-15197.898296844536	-15600.0
2.95	0.0	-157.29982929759706	-336.28663673416685	-709.4164389323937	-1043.0139221326115	-1491.3160020387159	-1940.4261319800253	-2340.5549554963072	-2700.9788642712433	-3106.5599215536668	-3442.8756375967023	-3901.3546146634653	-4291.679459994735	-4728.408045542476	-5190.1441659088105	-5601.059123465358	-6012.63874165823	-6397.663218258082	-6840.634105826965	-7164.41568967669	-7615.940330088851	-7986.960233635167	-8360.448765242278	-8766.43248999657	-9170.614348536268	-9556.575530063168	-9949.271585200639	-10423.765544757953	-10788.464379218618	-11164.05483658925	-11591.991909815497	-11979.935347197517	-12410.999469129703	-12797.752828826038	-13186.616200940694	-13600.719761404966	-14126.207057653522	-14769.239972503068	-15199.214532763042	-15600.0
2.94	0.0	-192.32967921652792	-390.5759283030697	-707.8578334441262	-1108.4732482756185	-1509.840367000971	-1870.7686812300967	-2322.582893233911	-2756.503982662017	-3071.52608628963	-3405.807777717286	-3832.988127865193	-4294.177199351654	-4759.954835494611	-5153.0353182457975	-5566.6097074680265	-5977.580541819983	-6347.524503850521	-6834.119253855966	-7232.980936506974	-7620.973152433855	-7952.93823100892	-8370.39195372858	-8771.033095343546	-9199.963494612635	-9600.35539294401	-10019.20584404811	-10387.646483681705	-10771.57155065664	-11194.444255780432	-11614.684236073335	-12005.606294868356	-12392.46369202807	-12794.987088563536	-13203.751477406062	-13605.80484658505	-14105.967296696439	-14762.209201256346	-15198.277204045306	-15600.0
2.93	0.0	-136.43644625852357	-361.4477571936206	-692.1097471223218	-1069.658973492143	-1486.4268563778783	-1933.022813025082	-2349.912384417457	-2720.3193368723264	-3136.2286083021277	-3482.298640782769	-3821.806378361922	-4317.72360794051	-4701.504852728111	-5190.57648052536	-5573.814033127712	-5976.66818030435	-6374.5964834973165	-6786.884940205199	-7184.566716678214	-7599.886014809645	-7990.5034351429595	-8348.521442032767	-8798.815209989092	-9177.427422140157	-9557.031536857146	-9948.185520461047	-10418.999422905867	-10796.659783940077	-11141.573023104454	-11561.198057782256	-12010.61204852382	-12423.827473713138	-12845.670904686693	-13191.969975926451	-13629.930758298135	-14108.74923291276	-14761.097041434736	-15197.771340650192	-15600.0
2.92	0.0	-200.32426581128155	-332.7837060483875	-743.3142645177345	-1087.8227937624317	-1484.5925855935066	-1916.2856718362486	-2302.3391565472007	-2702.7496773801845	-3077.460016496579	-3430.5493100038284	-3846.5277931037244	-4339.809445016345	-4750.5811280401285	-5190.683163097778	-5549.94874208673	-5978.835015746481	-6429.839505555684	-6818.7615736725575	-7220.494833413659	-7597.294636248918	-7974.8697418819675	-8368.571500255395	-8782.483042470494	-9231.889167317195	-9611.88746877767	-9971.829078282433	-10394.64055508488	-10758.19613318562	-11130.709405072968	-11572.269235959138	-12010.592424940056	-12437.375132901028	-12853.940692795924	-13252.968736288072	-13624.05816517365	-14131.884378287268	-14765.214499502667	-15198.095521304132	-15600.0
2.91	0.0	-188.75108613863125	-370.551103142765	-673.4252229359385	-1072.2241358583733	-1428.9791721147892	-1920.263978025234	-2326.6233785265704	-2727.6004744764173	-3111.741982628466	-3451.2958452905978	-3882.1351661676654	-4290.751206245249	-4738.78343482456	-5190.516595987252	-5582.8672819867115	-6000.132888379657	-6412.808878155808	-6753.5558331221955	-7187.977565280998	-7575.9876042629485	-7984.239061124955	-8391.649277914676	-8765.240739067938	-9222.910475199233	-9552.550254619615	-9975.374586472179	-10388.676109475604	-10798.729531956313	-11168.479094494345	-11542.723244893226	-12014.999343740701	-12431.265469759379	-12802.34158160466	-13184.532549900066	-13622.272782627284	-14118.782004709361	-14764.92826570113	-15200.0	-15600.0
